PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
449,1,3,0,5.0,2,1,194,19.2583,147,0
617,0,3,1,34.0,1,1,331,14.4,147,2
623,1,3,1,20.0,1,1,187,15.7417,147,0
31,0,1,1,40.0,0,0,598,27.7208,147,0
836,1,1,0,39.0,1,1,609,83.1583,130,0
789,1,3,1,1.0,1,2,548,20.575,147,2
166,1,3,1,9.0,0,2,423,20.525,147,2
878,0,3,1,19.0,0,0,358,7.8958,147,2
585,0,3,1,28.0,0,0,291,8.7125,147,0
873,0,1,1,33.0,0,0,502,5.0,34,2
347,1,2,0,40.0,0,0,257,13.0,147,2
626,0,1,1,61.0,0,0,455,32.3208,110,2
372,0,3,1,18.0,1,0,244,6.4958,147,2
277,0,3,0,45.0,0,0,326,7.75,147,2
716,0,3,1,19.0,0,0,348,7.65,140,2
650,1,3,0,23.0,0,0,567,7.55,147,2
652,1,2,0,18.0,0,1,117,23.0,147,2
379,0,3,1,20.0,0,0,183,4.0125,147,0
487,1,1,0,35.0,1,0,93,90.0,87,2
768,0,3,0,30.5,0,0,436,7.75,147,1
713,1,1,1,48.0,1,0,99,52.0,58,2
846,0,3,1,42.0,0,0,563,7.55,147,2
374,0,1,1,22.0,0,0,613,135.6333,147,0
14,0,3,1,39.0,1,5,333,31.275,147,2
499,0,1,0,25.0,1,2,37,151.55,62,2
857,1,1,0,45.0,1,1,453,164.8667,147,2
160,0,3,1,28.0,8,2,568,69.55,147,2
434,0,3,1,17.0,0,0,657,7.125,147,2
798,1,3,0,31.0,0,0,383,8.6833,147,2
717,1,1,0,38.0,0,0,610,227.525,66,0
443,0,3,1,25.0,1,0,328,7.775,147,2
620,0,2,1,26.0,0,0,253,10.5,147,2
691,1,1,1,31.0,1,0,89,57.0,19,2
876,1,3,0,15.0,0,0,195,7.225,147,0
223,0,3,1,51.0,0,0,102,8.05,147,2
315,0,2,1,43.0,1,1,571,26.25,147,2
510,1,3,1,26.0,0,0,80,56.4958,147,2
814,0,3,0,6.0,4,2,333,31.275,147,2
711,1,1,0,24.0,0,0,582,49.5042,84,0
698,1,3,0,28.0,0,0,419,7.7333,147,1
303,0,3,1,19.0,0,0,574,0.0,147,2
769,0,3,1,28.0,1,0,469,24.15,147,1
47,0,3,1,28.0,1,0,462,15.5,147,1
165,0,3,1,1.0,4,1,249,39.6875,147,2
523,0,3,1,28.0,0,0,173,7.225,147,0
536,1,2,0,7.0,0,2,571,26.25,147,2
667,0,2,1,25.0,0,0,123,13.0,147,2
475,0,3,0,22.0,0,0,509,9.8375,147,2
547,1,2,0,19.0,1,0,233,26.0,147,2
17,0,3,1,2.0,4,1,480,29.125,147,1
615,0,3,1,35.0,0,0,431,8.05,147,2
448,1,1,1,34.0,0,0,45,26.55,147,2
696,0,2,1,52.0,0,0,156,13.5,147,2
621,0,3,1,27.0,1,0,188,14.4542,147,0
90,0,3,1,24.0,0,0,297,8.05,147,2
831,1,3,0,15.0,1,0,188,14.4542,147,0
883,0,3,0,22.0,0,0,508,10.5167,147,2
477,0,2,1,34.0,1,0,252,21.0,147,2
336,0,3,1,28.0,0,0,370,7.8958,147,2
236,0,3,0,28.0,0,0,677,7.55,147,2
752,1,3,1,6.0,0,1,486,12.475,118,2
186,0,1,1,28.0,0,0,34,50.0,9,2
55,0,1,1,65.0,0,1,29,61.9792,23,0
702,1,1,1,35.0,0,0,579,26.2875,120,2
804,1,3,1,0.42,0,1,174,8.5167,147,0
416,0,3,0,28.0,0,0,295,8.05,147,2
191,1,2,0,32.0,0,0,122,13.0,147,2
529,0,3,1,39.0,0,0,250,7.925,147,2
688,0,3,1,19.0,0,0,372,10.1708,147,2
325,0,3,1,28.0,8,2,568,69.55,147,2
458,1,1,0,28.0,1,0,86,51.8625,97,2
48,1,3,0,28.0,0,0,76,7.75,147,1
420,0,3,0,10.0,0,2,307,24.15,147,2
736,0,3,1,28.5,0,0,495,16.1,147,2
498,0,3,1,28.0,0,0,564,15.1,147,2
436,1,1,0,14.0,1,2,33,120.0,47,2
402,0,3,1,26.0,0,0,292,8.05,147,2
570,1,3,1,32.0,0,0,415,7.8542,147,2
106,0,3,1,28.0,0,0,354,7.8958,147,2
259,1,1,0,35.0,0,0,608,512.3292,147,0
503,0,3,0,28.0,0,0,276,7.6292,147,1
598,0,3,1,49.0,0,0,574,0.0,147,2
53,1,1,0,49.0,1,0,587,76.7292,101,0
616,1,2,0,24.0,1,2,106,65.0,147,2
299,1,1,1,28.0,0,0,98,30.5,51,2
233,0,2,1,59.0,0,0,128,13.5,147,2
479,0,3,1,22.0,0,0,411,7.5208,147,2
98,1,1,1,23.0,0,1,612,63.3583,91,0
350,0,3,1,42.0,0,0,262,8.6625,147,2
309,0,2,1,30.0,1,0,575,24.0,147,0
42,0,2,0,27.0,1,0,53,21.0,147,2
399,0,2,1,23.0,0,0,146,10.5,147,2
517,1,2,0,34.0,0,0,560,10.5,142,2
619,1,2,0,4.0,2,1,114,39.0,144,2
871,0,3,1,26.0,0,0,387,7.8958,147,2
712,0,1,1,28.0,0,0,19,26.55,56,2
112,0,3,0,14.5,1,0,193,14.4542,147,0
556,0,1,1,62.0,0,0,52,26.55,147,2
37,1,3,1,28.0,0,0,202,7.2292,147,0
68,0,3,1,19.0,0,0,623,8.1583,147,2
410,0,3,0,28.0,3,1,488,25.4667,147,2
18,1,2,1,28.0,0,0,151,13.0,147,2
99,1,2,0,34.0,0,1,117,23.0,147,2
88,0,3,1,28.0,0,0,652,8.05,147,2
879,0,3,1,28.0,0,0,363,7.8958,147,2
727,1,2,0,30.0,3,0,252,21.0,147,2
657,0,3,1,28.0,0,0,368,7.8958,147,2
595,0,2,1,37.0,1,0,626,26.0,147,2
660,0,1,1,58.0,0,2,416,113.275,108,0
579,0,3,0,28.0,1,0,209,14.4583,147,0
207,0,3,1,32.0,1,0,247,15.85,147,2
268,1,3,1,25.0,1,0,334,7.775,147,2
83,1,3,0,28.0,0,0,280,7.7875,147,1
38,0,3,1,21.0,0,0,514,8.05,147,2
19,0,3,0,31.0,1,0,301,18.0,147,2
360,1,3,0,28.0,0,0,285,7.8792,147,1
255,0,3,0,41.0,0,2,458,20.2125,147,2
425,0,3,1,18.0,1,1,458,20.2125,147,2
787,1,3,0,18.0,0,0,243,7.4958,147,2
62,1,1,0,38.0,0,0,32,80.0,21,2
102,0,3,1,28.0,0,0,361,7.8958,147,2
674,1,2,1,31.0,0,0,145,13.0,147,2
485,1,1,1,25.0,1,0,64,91.0792,31,0
802,1,2,0,31.0,1,1,556,26.25,147,2
459,1,2,0,50.0,0,0,572,10.5,147,2
608,1,1,1,27.0,0,0,50,30.5,147,2
853,0,3,0,9.0,1,1,203,15.2458,147,0
703,0,3,0,18.0,0,1,211,14.4542,147,0
771,0,3,1,24.0,0,0,313,9.5,147,2
313,0,2,0,26.0,1,1,167,26.0,147,2
786,0,3,1,25.0,0,0,474,7.25,147,2
121,0,2,1,21.0,2,0,621,73.5,147,2
797,1,1,0,49.0,0,0,87,25.9292,94,2
182,0,2,1,28.0,0,0,629,15.05,147,0
494,0,1,1,71.0,0,0,603,49.5042,147,0
409,0,3,1,21.0,0,0,255,7.775,147,2
2,1,1,0,38.0,1,0,596,71.2833,81,0
400,1,2,0,28.0,0,0,140,12.65,147,2
810,1,1,0,33.0,1,0,51,53.1,137,2
730,0,3,0,25.0,1,0,667,7.925,147,2
482,0,2,1,28.0,0,0,136,0.0,147,2
739,0,3,1,28.0,0,0,349,7.8958,147,2
275,1,3,0,28.0,0,0,465,7.75,147,1
820,0,3,1,10.0,3,2,337,27.9,147,2
765,0,3,1,16.0,0,0,327,7.775,147,2
216,1,1,0,31.0,1,0,416,113.275,103,0
288,0,3,1,22.0,0,0,353,7.8958,147,2
127,0,3,1,28.0,0,0,463,7.75,147,1
644,1,3,1,28.0,0,0,80,56.4958,147,2
829,1,3,1,28.0,0,0,442,7.75,147,1
297,0,3,1,23.5,0,0,212,7.2292,147,0
146,0,2,1,19.0,1,1,558,36.75,147,2
471,0,3,1,28.0,0,0,272,7.25,147,2
77,0,3,1,28.0,0,0,355,7.8958,147,2
676,0,3,1,18.0,0,0,397,7.775,147,2
428,1,2,0,19.0,0,0,170,26.0,147,2
346,1,2,0,24.0,0,0,157,13.0,142,2
329,1,3,0,31.0,1,1,423,20.525,147,2
173,1,3,0,1.0,1,1,344,11.1333,147,2
373,0,3,1,19.0,0,0,273,8.05,147,2
375,0,3,0,3.0,3,1,395,21.075,147,2
540,1,1,0,22.0,0,2,75,49.5,27,0
84,0,1,1,28.0,0,0,25,47.1,147,2
35,0,1,1,28.0,1,0,600,82.1708,147,0
380,0,3,1,19.0,0,0,324,7.775,147,2
376,1,1,0,28.0,1,0,600,82.1708,147,0
109,0,3,1,38.0,0,0,388,7.8958,147,2
21,0,2,1,35.0,0,0,139,26.0,147,2
333,0,1,1,38.0,0,1,588,153.4625,85,2
45,1,3,0,19.0,0,0,282,7.8792,147,1
799,0,3,1,30.0,0,0,206,7.2292,147,0
563,0,2,1,28.0,0,0,103,13.5,147,2
234,1,3,0,5.0,4,2,329,31.3875,147,2
835,0,3,1,18.0,0,0,107,8.3,147,2
480,1,3,0,2.0,0,1,251,12.2875,147,2
95,0,3,1,59.0,0,0,428,7.25,147,2
781,1,3,0,13.0,0,0,208,7.2292,147,0
28,0,1,1,19.0,3,2,95,263.0,63,2
520,0,3,1,32.0,0,0,381,7.8958,147,2
834,0,3,1,23.0,0,0,342,7.8542,147,2
70,0,3,1,26.0,2,0,270,8.6625,147,2
614,0,3,1,28.0,0,0,467,7.75,147,1
282,0,3,1,28.0,0,0,340,7.8542,147,2
531,1,2,0,2.0,1,1,180,26.0,147,2
12,1,1,0,58.0,0,0,38,26.55,49,2
397,0,3,0,31.0,0,0,414,7.8542,147,2
635,0,3,0,9.0,3,2,337,27.9,147,2
532,0,3,1,28.0,0,0,181,7.2292,147,0
735,0,2,1,23.0,0,0,119,13.0,147,2
352,0,1,1,28.0,0,0,30,35.0,59,2
340,0,1,1,45.0,0,0,39,35.5,146,2
120,0,3,0,2.0,4,2,333,31.275,147,2
126,1,3,1,12.0,1,0,186,11.2417,147,0
180,0,3,1,36.0,0,0,574,0.0,147,2
721,1,2,0,6.0,0,1,155,33.0,147,2
332,0,1,1,45.5,0,0,20,28.5,56,2
437,0,3,0,21.0,2,2,676,34.375,147,2
176,0,3,1,18.0,1,1,412,7.8542,147,2
706,0,2,1,39.0,0,0,170,26.0,147,2
273,1,2,0,41.0,0,1,162,19.5,147,2
157,1,3,0,16.0,0,0,418,7.7333,147,1
218,0,2,1,42.0,1,0,142,27.0,147,2
770,0,3,1,32.0,0,0,511,8.3625,147,2
462,0,3,1,34.0,0,0,429,8.05,147,2
89,1,1,0,23.0,3,2,95,263.0,63,2
446,1,1,1,4.0,0,2,289,81.8583,10,2
861,0,3,1,41.0,2,0,399,14.1083,147,2
183,0,3,1,9.0,4,2,329,31.3875,147,2
322,0,3,1,27.0,0,0,365,7.8958,147,2
548,1,2,1,28.0,0,0,631,13.8625,147,0
569,0,3,1,28.0,0,0,207,7.2292,147,0
558,0,1,1,28.0,0,0,610,227.525,147,0
450,1,1,1,52.0,0,0,40,30.5,50,2
389,0,3,1,28.0,0,0,447,7.7292,147,1
130,0,3,1,45.0,0,0,318,6.975,147,2
295,0,3,1,24.0,0,0,374,7.8958,147,2
290,1,3,0,22.0,0,0,464,7.75,147,1
226,0,3,1,22.0,0,0,615,9.35,147,2
504,0,3,0,37.0,0,0,490,9.5875,147,2
701,1,1,0,18.0,1,0,610,227.525,73,0
784,0,3,1,28.0,1,2,675,23.45,147,2
866,1,2,0,42.0,0,0,126,13.0,147,2
582,1,1,0,39.0,1,1,83,110.8833,75,0
816,0,1,1,28.0,0,0,15,0.0,16,2
785,0,3,1,25.0,0,0,643,7.05,147,2
324,1,2,0,22.0,1,1,158,29.0,147,2
744,0,3,1,24.0,1,0,477,16.1,147,2
649,0,3,1,28.0,0,0,620,7.55,147,2
219,1,1,0,32.0,0,0,63,76.2917,93,0
392,1,3,1,21.0,0,0,401,7.7958,147,2
723,0,2,1,34.0,0,0,65,13.0,147,2
161,0,3,1,44.0,0,1,470,16.1,147,2
725,1,1,1,27.0,1,0,51,53.1,137,2
34,0,2,1,66.0,0,0,549,10.5,147,2
339,1,3,1,45.0,0,0,510,8.05,147,2
469,0,3,1,28.0,0,0,421,7.725,147,1
368,1,3,0,28.0,0,0,175,7.2292,147,0
111,0,1,1,47.0,0,0,2,52.0,52,2
483,0,3,1,50.0,0,0,531,8.05,147,2
169,0,1,1,28.0,0,0,576,25.925,147,2
682,1,1,1,27.0,0,0,587,76.7292,109,0
522,0,3,1,22.0,0,0,390,7.8958,147,2
334,0,3,1,16.0,2,0,302,18.0,147,2
366,0,3,1,30.0,0,0,544,7.25,147,2
326,1,1,0,36.0,0,0,613,135.6333,65,0
414,0,2,1,28.0,0,0,135,0.0,147,2
689,0,3,1,18.0,0,0,403,7.7958,147,2
788,0,3,1,8.0,4,1,480,29.125,147,1
194,1,2,1,3.0,1,1,113,26.0,141,2
705,0,3,1,26.0,1,0,398,7.8542,147,2
232,0,3,1,29.0,0,0,322,7.775,147,2
568,0,3,0,29.0,0,4,395,21.075,147,2
283,0,3,1,16.0,0,0,310,9.5,147,2
451,0,2,1,36.0,1,2,561,27.75,147,2
508,1,1,1,28.0,0,0,10,26.55,147,2
515,0,3,1,24.0,0,0,356,7.4958,147,2
6,0,3,1,28.0,0,0,275,8.4583,147,1
398,0,2,1,46.0,0,0,226,26.0,147,2
3,1,3,0,26.0,0,0,669,7.925,147,2
758,0,2,1,18.0,0,0,238,11.5,147,2
467,0,2,1,28.0,0,0,135,0.0,147,2
312,1,1,0,18.0,2,2,602,262.375,35,0
872,1,1,0,47.0,1,1,54,52.5542,102,2
370,1,1,0,24.0,0,0,581,69.3,24,0
574,1,3,0,28.0,0,0,77,7.75,147,1
29,1,3,0,28.0,0,0,283,7.8792,147,1
774,0,3,1,28.0,0,0,201,7.225,147,0
44,1,2,0,3.0,1,2,634,41.5792,147,0
678,1,3,0,18.0,0,0,493,9.8417,147,2
178,0,1,0,50.0,0,0,593,28.7125,69,0
762,0,3,1,41.0,0,0,646,7.125,147,2
9,1,3,0,27.0,0,2,344,11.1333,147,2
174,0,3,1,21.0,0,0,659,7.925,147,2
417,1,2,0,34.0,1,1,224,32.5,147,2
452,0,3,1,28.0,1,0,497,19.9667,147,2
854,1,1,0,16.0,0,1,591,39.4,99,2
287,1,3,1,30.0,0,0,308,9.5,147,2
607,0,3,1,30.0,0,0,385,7.8958,147,2
385,0,3,1,28.0,0,0,371,7.8958,147,2
862,0,2,1,21.0,1,0,221,11.5,147,2
11,1,3,0,4.0,1,1,616,16.7,145,2
690,1,1,0,15.0,0,1,141,211.3375,32,2
445,1,3,1,28.0,0,0,499,8.1125,147,2
78,0,3,1,28.0,0,0,473,8.05,147,2
543,0,3,0,11.0,4,2,333,31.275,147,2
571,1,2,1,62.0,0,0,624,10.5,147,2
286,0,3,1,33.0,0,0,378,8.6625,147,0
496,0,3,1,28.0,0,0,176,14.4583,147,0
244,0,3,1,22.0,0,0,658,7.125,147,2
686,0,2,1,25.0,1,2,634,41.5792,147,0
511,1,3,1,29.0,0,0,479,7.75,147,1
557,1,1,0,48.0,1,0,57,39.6,2,0
555,1,3,0,22.0,0,0,335,7.775,147,2
190,0,3,1,36.0,0,0,386,7.8958,147,2
76,0,3,1,25.0,0,0,347,7.65,140,2
85,1,2,0,17.0,0,0,637,10.5,147,2
311,1,1,0,24.0,0,0,59,83.1583,72,0
222,0,2,1,27.0,0,0,105,13.0,147,2
850,1,1,0,28.0,1,0,84,89.1042,86,0
889,0,3,0,28.0,1,2,675,23.45,147,2
613,1,3,0,28.0,1,0,444,15.5,147,1
560,1,3,0,36.0,1,0,300,17.4,147,2
594,0,3,0,28.0,0,2,434,7.75,147,1
860,0,3,1,28.0,0,0,178,7.2292,147,0
338,1,1,0,41.0,0,0,81,134.5,127,0
321,0,3,1,22.0,0,0,524,7.25,147,2
401,1,3,1,39.0,0,0,663,7.925,147,2
206,0,3,0,2.0,0,1,316,10.4625,145,2
267,0,3,1,16.0,4,1,249,39.6875,147,2
541,1,1,0,36.0,0,2,680,71.0,20,2
129,1,3,0,28.0,1,1,196,22.3583,138,0
891,0,3,1,32.0,0,0,466,7.75,147,1
581,1,2,0,25.0,1,1,133,30.0,147,2
200,0,2,0,24.0,0,0,160,13.0,147,2
349,1,3,1,3.0,1,1,562,15.9,147,2
73,0,2,1,21.0,0,0,621,73.5,147,2
133,0,3,0,47.0,1,0,537,14.5,147,2
792,0,2,1,16.0,0,0,139,26.0,147,2
110,1,3,0,28.0,1,0,469,24.15,147,1
801,0,2,1,34.0,0,0,164,13.0,147,2
562,0,3,1,40.0,0,0,389,7.8958,147,2
605,1,1,1,35.0,0,0,9,26.55,147,0
384,1,1,0,35.0,1,0,43,52.0,147,2
793,0,3,0,28.0,8,2,568,69.55,147,2
456,1,3,1,29.0,0,0,379,7.8958,147,0
502,0,3,0,21.0,0,0,433,7.75,147,1
240,0,2,1,33.0,0,0,636,12.275,147,2
145,0,2,1,18.0,0,0,118,11.5,147,2
454,1,1,1,49.0,1,0,84,89.1042,86,0
663,0,1,1,47.0,0,0,496,25.5875,132,2
138,0,1,1,37.0,1,0,49,53.1,55,2
201,0,3,1,28.0,0,0,306,9.5,147,2
722,0,3,1,17.0,1,0,408,7.0542,147,2
874,0,3,1,47.0,0,0,303,9.0,147,2
637,0,3,1,32.0,0,0,664,7.925,147,2
512,0,3,1,28.0,0,0,648,8.05,147,2
764,1,1,0,36.0,1,2,33,120.0,47,2
438,1,2,0,24.0,2,3,237,18.75,147,2
618,0,3,0,26.0,1,0,536,16.1,147,2
378,0,1,1,27.0,0,2,27,211.5,79,0
497,1,1,0,54.0,1,0,454,78.2667,96,0
671,1,2,0,40.0,1,1,240,39.0,147,2
472,0,3,1,38.0,0,0,263,8.6625,147,2
187,1,3,0,28.0,1,0,459,15.5,147,1
56,1,1,1,28.0,0,0,94,35.5,71,2
354,0,3,1,25.0,1,0,377,17.8,147,2
253,0,1,1,62.0,0,0,31,26.55,83,2
217,1,3,0,27.0,0,0,670,7.925,147,2
633,1,1,1,32.0,0,0,70,30.5,33,0
383,0,3,1,32.0,0,0,665,7.925,147,2
869,0,3,1,28.0,0,0,309,9.5,147,2
304,1,2,0,28.0,0,0,109,12.35,116,1
807,0,1,1,39.0,0,0,12,0.0,11,2
328,1,2,0,36.0,0,0,229,13.0,90,2
263,0,1,1,52.0,1,1,1,79.65,134,2
164,0,3,1,17.0,0,0,265,8.6625,147,2
654,1,3,0,28.0,0,0,277,7.8292,147,1
394,1,1,0,23.0,1,0,416,113.275,103,0
381,1,1,0,42.0,0,0,610,227.525,147,0
845,0,3,1,17.0,0,0,264,8.6625,147,2
612,0,3,1,28.0,0,0,638,7.05,147,2
491,0,3,1,28.0,1,0,498,19.9667,147,2
580,1,3,1,32.0,0,0,661,7.925,147,2
886,0,3,0,39.0,0,5,480,29.125,147,1
61,0,3,1,22.0,0,0,197,7.2292,147,0
609,1,2,0,22.0,1,2,634,41.5792,147,0
704,0,3,1,25.0,0,0,449,7.7417,147,1
213,0,3,1,22.0,0,0,526,7.25,147,2
453,0,1,1,30.0,0,0,22,27.75,53,0
377,1,3,0,22.0,0,0,545,7.25,147,2
82,1,3,1,29.0,0,0,311,9.5,147,2
343,0,2,1,28.0,0,0,159,13.0,147,2
486,0,3,0,28.0,3,1,488,25.4667,147,2
117,0,3,1,70.5,0,0,460,7.75,147,1
589,0,3,1,22.0,0,0,79,8.05,147,2
505,1,1,0,16.0,0,0,0,86.5,42,2
406,0,2,1,34.0,1,0,230,21.0,147,2
849,0,2,1,28.0,0,1,155,33.0,147,2
516,0,1,1,47.0,0,0,456,34.0208,106,2
441,1,2,0,45.0,1,1,571,26.25,147,2
611,0,3,0,39.0,1,5,333,31.275,147,2
241,0,3,0,28.0,1,0,193,14.4542,147,0
567,0,3,1,19.0,0,0,352,7.8958,147,2
629,0,3,1,26.0,0,0,369,7.8958,147,2
714,0,3,1,29.0,0,0,506,9.4833,147,2
170,0,3,1,28.0,0,0,80,56.4958,147,2
808,0,3,0,18.0,0,0,336,7.775,147,2
114,0,3,0,20.0,1,0,491,9.825,147,2
757,0,3,1,28.0,0,0,404,7.7958,147,2
731,1,1,0,29.0,0,0,141,211.3375,32,2
791,0,3,1,28.0,0,0,66,7.75,147,1
622,1,1,1,42.0,1,0,56,52.5542,95,2
665,1,3,1,20.0,1,0,660,7.925,147,2
803,1,1,1,11.0,1,2,33,120.0,47,2
720,0,3,1,33.0,0,0,319,7.775,147,2
855,0,2,0,44.0,1,0,144,26.0,147,2
641,0,3,1,20.0,0,0,409,7.8542,147,2
181,0,3,0,28.0,8,2,568,69.55,147,2
800,0,3,0,30.0,1,1,307,24.15,147,2
748,1,2,0,30.0,0,0,165,13.0,147,2
371,1,1,1,25.0,1,0,58,55.4417,131,0
881,1,2,0,25.0,0,1,115,26.0,147,2
796,0,2,1,39.0,0,0,223,13.0,147,2
677,0,3,1,24.5,0,0,294,8.05,147,2
122,0,3,1,28.0,0,0,540,8.05,147,2
818,0,2,1,31.0,1,1,618,37.0042,147,0
